; 京剧专有词典（jieba.load_userdict 格式）
诓骗 15 v
卜算 15 v
八卦 15 n
卦象 15 n
占卜 15 v
调遣 15 v
差遣 15 v
瞒过 15 v
暗算 15 v

; --- 战争征伐 ---
领兵 15 v
攻打 15 v
攻城 15 v
破敌 15 v
杀敌 15 v
厮杀 15 v
对阵 15 v
交锋 15 v
兵戈 15 n
埋伏 15 v
出征 15 v
起兵 15 v
撤兵 15 v
鏖兵 15 v
战事 15 n
镇守 15 v
搬兵 15 v
请缨 15 v
讨敌骂阵 15 i
扫北 15 v
征西 15 v
征东 15 v
番邦 15 n
番兵 15 n
和番 15 v
点将 15 v
调兵 15 v
退兵 15 v
败兵 15 n
胜仗 15 n

; --- 行军调度 ---
人马 15 n
兵马 15 n
大军 15 n
巡营 15 v
扎营 15 v
安营 15 v
拔营 15 v
回营 15 v
操练 15 v
犒赏 15 v
犒劳 15 v
粮草 15 n
辎重 15 n
营盘 15 n
中军 15 n
探子 15 n
得令 15 v
传令 15 v
前队 15 n
后队 15 n
下营 15 v
拔寨 15 v
起营 15 v
破寨 15 v

; --- 公案侠义 ---
冤枉 15 v
冤情 15 n
昭雪 15 v
青天 15 n
锄奸 15 v
义士 15 n
打虎 15 v
除霸 15 v
劫法场 15 i
替天行道 15 i
鸣冤 15 v
断案 15 v
审问 15 v
状告 15 v
申冤 15 v
正法 15 v
问斩 15 v
堂前 15 n
喊冤 15 v
鸣鼓 15 v
对簿 15 v
诉冤 15 v
翻案 15 v
搭救 15 v
解救 15 v

; --- 才子佳人 ---
私订终身 15 i
后花园 15 n
赠金 15 v
落难 15 v
高中 15 v
状元 15 n
琴挑 15 v
传柬 15 v
佳人 15 n
良缘 15 n
婚配 15 v
姻缘 15 n
情深 15 a
爱慕 15 v
鸳鸯 15 n
比翼 15 a
海誓 15 v
山盟 15 v
招赘 15 v
结亲 15 v
成亲 15 v
拜堂 15 v
迎亲 15 v
送嫁 15 v
完婚 15 v
赴考 15 v
金榜 15 n

; --- 忠君奉旨 ---
尽忠 15 v
报国 15 v
忠臣 15 n
奸臣 15 n
死节 15 v
全忠全孝 15 i
替主 15 v
殉难 15 v
守节 15 v
忠良 15 n
大义灭亲 15 i
保驾 15 v
护驾 15 v
君臣 15 n
忠义 15 n
丹心 15 n
社稷 15 n
江山 15 n
为臣 15 v
尽节 15 v

; --- 出使行程 ---
过江 15 v
登程 15 v
出使 15 v
护送 15 v
上路 15 v
送行 15 v
辞别 15 v
辞行 15 v
启程 15 v
登舟 15 v
上船 15 v
渡江 15 v
归乡 15 v
回归 15 v
迎送 15 v
送别 15 v
出门远行 15 i

; --- 兄弟情义 ---
结拜 15 v
义气 15 n
手足 15 n
结义 15 v
金兰 15 n
桃园 15 n
拜把 15 v
同生共死 15 i
义结金兰 15 i
情同手足 15 i
舍命 15 v
相救 15 v
义弟 15 n
义兄 15 n
异姓 15 n

; --- 宴饮场面 ---
饮宴 15 v
宴尝 15 v
把盏 15 v
酒席 15 n
举杯 15 v
赴宴 15 v
酒过三巡 15 i
排宴 15 v
庆功宴 15 n
饯行宴 15 n
酒酣 15 a
敬酒 15 v
对饮 15 v
畅饮 15 v
斟酒 15 v
饮酒 15 v
看酒 15 v
把酒 15 v

; --- 冲突怒斥 ---
怒喝 15 v
怒目 15 v
羞恼 15 v
争执 15 v
厉声 15 v
动怒 15 v
拍案 15 v
怒发冲冠 15 i
怒斥 15 v
可恨 15 a
可恶 15 a
痛骂 15 v
诘问 15 v
斥责 15 v
贼子 15 n
奸贼 15 n
狗贼 15 n
可叹 15 a
可气 15 a
气煞 15 v
怒气 15 n
争吵 15 v

; --- 神话天命 ---
天意 15 n
天命 15 n
神明 15 n
苍天 15 n
上苍 15 n
显圣 15 v
显灵 15 v
托梦 15 v
鬼魂 15 n
冥府 15 n
还魂 15 v
托兆 15 v
仙人 15 n
神仙 15 n
天罡 15 n
天意难违 15 i
因果 15 n
轮回 15 n
幽冥 15 n
魂魄 15 n
阴司 15 n
阎君 15 n

; --- 团圆喜庆 ---
团圆 15 v
团聚 15 v
夫妻团圆 15 i
母子团圆 15 i
阖家欢乐 15 i
重逢 15 v
庆贺 15 v
庆功 15 v
贺喜 15 v
贺寿 15 v
高升 15 v
拜寿 15 v
封官 15 v
加封 15 v
凯旋 15 v
得胜 15 v
胜利 15 v
归来团圆 15 i

; --- 守城攻防 ---
守城 15 v
失守 15 v
复夺 15 v
退守 15 v
防守 15 v
城楼 15 n
城关 15 n
城池 15 n
守关 15 v
突围 15 v
据守 15 v
把守 15 v
城门 15 n
夺关 15 v
夺城 15 v
保城 15 v
失城 15 v
守隘 15 v
街亭 15 ns
西城 15 ns

; --- 让位归降 ---
让位 15 v
归降 15 v
降顺 15 v
归顺 15 v
出降 15 v
献城 15 v
献图 15 v
夺取 15 v
执掌 15 v
同宗 15 n
宗弟 15 n
进都 15 v
受降 15 v
修书 15 v
纳降 15 v
传位 15 v
禅让 15 v
托孤 15 v
归附 15 v
招安 15 v
退位 15 v
立嗣 15 v
立储 15 v
嗣位 15 v
执政 15 v

; --- 家训教子 ---
教道 15 v
教训 15 v
家法 15 n
机房 15 n
织绢 15 v
读书 15 v
掌家 15 v
主母 15 n
改嫁 15 v
守寡 15 v
贞节 15 n
三从 15 n
四德 15 n
抚孤 15 v
抚育 15 v
苦读 15 v
勤读 15 v
教子 15 v
训子 15 v
教诲 15 v
课读 15 v
孟母 15 n
义方 15 n
家训 15 n
学规 15 n
私塾 15 n
课业 15 n

; --- 生死离别 ---
永别 15 v
诀别 15 v
临终 15 v
遗言 15 n
遗嘱 15 n
送殡 15 v
送终 15 v
祭奠 15 v
祭文 15 n
灵前 15 n
灵堂 15 n
棺木 15 n
孝子 15 n
孝服 15 n
守灵 15 v
丧事 15 n
出殡 15 v
哭灵 15 v
招魂 15 v
断头 15 v
断魂 15 v
生离死别 15 i
天人永隔 15 i

; --- 朝堂奏对 补 ---
银安殿 15 n
奏本 15 n
奏明 15 v
上达天听 15 i
卿家 15 n

; --- 公案侠义 补 ---
上诉 15 v
告状 15 v
打官司 15 v
公堂 15 n
升堂 15 v
退堂 15 v
枉法 15 v
冤魂 15 n
怨鬼 15 n
缉拿 15 v
押下 15 v
看押 15 v

; --- 计策谋略 补 ---
空城 15 n
实城 15 n
空城计 15 i
无中生有 15 i
智取 15 v
巧夺 15 v
瞒天过海 15 i
金蝉脱壳 15 i
调虎离山 15 i
围魏救赵 15 i
诈死 15 v
假投 15 v
假降 15 v
佯装 15 v
暗渡陈仓 15 i

; --- 战争征伐 补 ---
迎敌 15 v
退敌 15 v
破贼 15 v
杀奔 15 v
兵临 15 v
围困 15 v
陷阵 15 v

; --- 神话天命 补 ---
阴魂 15 n
亡魂 15 n
城隍 15 n
土地 15 n
鬼神 15 n
望乡台 15 n
黄泉 15 n
命丧 15 v
自刎 15 v
命亡 15 v

; --- 冲突怒斥 补 ---
辱骂 15 v
羞辱 15 v
赤身露体 15 i
击鼓骂 15 v
骂阵 15 v
鼓吏 15 n
擂鼓 15 v
心头恨 15 n
心头怒 15 n
畜生 15 n

; --- 行军调度 补 ---
鸣金 15 v
击鼓 15 v
聚将 15 v
众将 15 n
众将官 15 n
听令 15 v
得胜回营 15 i
